loc_name,status,score,x,y,l_adr,n_sq_rplsa,adresse,c_postal,l_com,n_voie,c_suf1,c_desi,l_voie,pays
,,,,,,"758847488",90 RUE ARNOLD NETTER,"75012",Paris 12e Arrondissement,"90",,RUE,ARNOLD NETTER,FRANCE
,,,,,,"920030291",RUE LEROY,"92110",Clichy,,,RUE,LEROY,FRANCE
,,,,,,"930024564",RUE RACINE,"93000",Bobigny,,,RUE,RACINE,FRANCE
,,,,,,"758847449",1 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"1",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847450",10 AVENUE DE LA PORTE DE VILLIERS,"75017",Paris 17e Arrondissement,"10",,AVENUE,DE LA PORTE DE VILLIERS,FRANCE
,,,,,,"758847451",111 BOULEVARD MAC DONALD,"75019",Paris 19e Arrondissement,"111",,BOULEVARD,MAC DONALD,FRANCE
,,,,,,"758847452",113 BOULEVARD MAC DONALD,"75019",Paris 19e Arrondissement,"113",,BOULEVARD,MAC DONALD,FRANCE
,,,,,,"758847453",12 BIS RUE FREDERICK LEMAITRE,"75020",Paris 20e Arrondissement,"12",BIS,RUE,FREDERICK LEMAITRE,FRANCE
,,,,,,"758847454",12 RUE MARIE ANDREE LAGROUA WEIL HALLE,"75013",Paris 13e Arrondissement,"12",,RUE,MARIE ANDREE LAGROUA WEIL HALLE,FRANCE
,,,,,,"758847455",140 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"140",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847456",16 PASSAGE GUSTAVE LE PEU,"75011",Paris 11e Arrondissement,"16",,PASSAGE,GUSTAVE LE PEU,FRANCE
,,,,,,"758847457",18 BIS RUE DE CRIMEE,"75019",Paris 19e Arrondissement,"18",BIS,RUE,DE CRIMEE,FRANCE
,,,,,,"758847458",18 TER RUE DE CRIMEE,"75019",Paris 19e Arrondissement,"18",TER,RUE,DE CRIMEE,FRANCE
,,,,,,"758847459",2 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"2",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847460",2 SQUARE SAINTE IRENEE,"75011",Paris 11e Arrondissement,"2",,SQUARE,SAINTE IRENEE,FRANCE
,,,,,,"758847461",20 RUE DU COLONELDOMINE,"75013",Paris 13e Arrondissement,"20",,RUE,DU COLONELDOMINE,FRANCE
,,,,,,"758847462",20 RUE JULES ROMAIN,"75019",Paris 19e Arrondissement,"20",,RUE,JULES ROMAIN,FRANCE
,,,,,,"758847463",20 RUE ST GERMAIN AUXE,"75001",Paris 1er Arrondissement,"20",,RUE,ST GERMAIN AUXE,FRANCE
,,,,,,"758847464",22 RUE JULES ROMAIN,"75019",Paris 19e Arrondissement,"22",,RUE,JULES ROMAIN,FRANCE
,,,,,,"758847465",246 BIS RUE DES PYRENEES,"75020",Paris 20e Arrondissement,"246",BIS,RUE,DES PYRENEES,FRANCE
,,,,,,"758847466",25 BIS RUE D EUPATORIA,"75020",Paris 20e Arrondissement,"25",BIS,RUE,D EUPATORIA,FRANCE
,,,,,,"758847467",28 BIS RUE DE TERRE NEUVE,"75020",Paris 20e Arrondissement,"28",BIS,RUE,DE TERRE NEUVE,FRANCE
,,,,,,"758847468",3 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"3",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847469",3 RUELLE LE FRAISIER,"75012",Paris 12e Arrondissement,"3",,RUELLE,LE FRAISIER,FRANCE
,,,,,,"758847470",34 RUE DE PIXERICOURT,"75020",Paris 20e Arrondissement,"34",,RUE,DE PIXERICOURT,FRANCE
,,,,,,"758847471",40 BIS RUE OLIVIER METRA,"75020",Paris 20e Arrondissement,"40",BIS,RUE,OLIVIER METRA,FRANCE
,,,,,,"758847472",41 RUE PIXÉRICOURT,"75020",Paris 20e Arrondissement,"41",,RUE,PIXÉRICOURT,FRANCE
,,,,,,"758847473",5 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"5",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847474",5 RUE DARIUS MILHAUD,"75019",Paris 19e Arrondissement,"5",,RUE,DARIUS MILHAUD,FRANCE
,,,,,,"758847475",6 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"6",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847476",6 BIS RUE HARPIGNIES,"75020",Paris 20e Arrondissement,"6",BIS,RUE,HARPIGNIES,FRANCE
,,,,,,"758847477",6 RUE AMIRAL LA RONCIERE LE NOURY,"75012",Paris 12e Arrondissement,"6",,RUE,AMIRAL LA RONCIERE LE NOURY,FRANCE
,,,,,,"758847478",6 RUE AMIRAL LA RONCIERE LENOURY,"75012",Paris 12e Arrondissement,"6",,RUE,AMIRAL LA RONCIERE LENOURY,FRANCE
,,,,,,"758847479",7 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"7",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847480",7 BIS RUE JULES DUMIEN,"75020",Paris 20e Arrondissement,"7",BIS,RUE,JULES DUMIEN,FRANCE
,,,,,,"758847481",7 RUE DARIUS MILHAUD,"75019",Paris 19e Arrondissement,"7",,RUE,DARIUS MILHAUD,FRANCE
,,,,,,"758847482",8 ALLEE DES ORGUES DE FLANDRES,"75019",Paris 19e Arrondissement,"8",,ALLEE,DES ORGUES DE FLANDRES,FRANCE
,,,,,,"758847483",8 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"8",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847484",8 BIS PASSAGE SAVART,"75020",Paris 20e Arrondissement,"8",BIS,PASSAGE,SAVART,FRANCE
,,,,,,"758847485",8 TER RUE SAINT FARGEAU,"75020",Paris 20e Arrondissement,"8",TER,RUE,SAINT FARGEAU,FRANCE
,,,,,,"758847486",82 COURS DE VINCENNES,"75012",Paris 12e Arrondissement,"82",,COURS,DE VINCENNES,FRANCE
,,,,,,"758847487",89 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"89",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847489",91 BIS RUE DES ORTEAUX,"75020",Paris 20e Arrondissement,"91",BIS,RUE,DES ORTEAUX,FRANCE
,,,,,,"758847490",91 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"91",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847491",93 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"93",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847492",95 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"95",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847493",95 RUE PELLEPORT,"75020",Paris 20e Arrondissement,"95",,RUE,PELLEPORT,FRANCE
,,,,,,"758847494",1 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"1",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847495",10 AVENUE DE LA PORTE DE VILLIERS,"75017",Paris 17e Arrondissement,"10",,AVENUE,DE LA PORTE DE VILLIERS,FRANCE
,,,,,,"758847496",111 BOULEVARD MAC DONALD,"75019",Paris 19e Arrondissement,"111",,BOULEVARD,MAC DONALD,FRANCE
,,,,,,"758847497",113 BOULEVARD MAC DONALD,"75019",Paris 19e Arrondissement,"113",,BOULEVARD,MAC DONALD,FRANCE
,,,,,,"758847498",12 BIS RUE FREDERICK LEMAITRE,"75020",Paris 20e Arrondissement,"12",BIS,RUE,FREDERICK LEMAITRE,FRANCE
,,,,,,"758847499",12 RUE MARIE ANDREE LAGROUA WEIL HALLE,"75013",Paris 13e Arrondissement,"12",,RUE,MARIE ANDREE LAGROUA WEIL HALLE,FRANCE
,,,,,,"758847500",90 RUE ARNOLD NETTER,"75012",Paris 12e Arrondissement,"90",,RUE,ARNOLD NETTER,FRANCE
,,,,,,"758847501",140 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"140",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847502",16 PASSAGE GUSTAVE LE PEU,"75011",Paris 11e Arrondissement,"16",,PASSAGE,GUSTAVE LE PEU,FRANCE
,,,,,,"758847503",18 BIS RUE DE CRIMEE,"75019",Paris 19e Arrondissement,"18",BIS,RUE,DE CRIMEE,FRANCE
,,,,,,"758847504",18 TER RUE DE CRIMEE,"75019",Paris 19e Arrondissement,"18",TER,RUE,DE CRIMEE,FRANCE
,,,,,,"758847505",2 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"2",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847506",2 SQUARE SAINTE IRENEE,"75011",Paris 11e Arrondissement,"2",,SQUARE,SAINTE IRENEE,FRANCE
,,,,,,"758847507",20 RUE DU COLONELDOMINE,"75013",Paris 13e Arrondissement,"20",,RUE,DU COLONELDOMINE,FRANCE
,,,,,,"758847508",20 RUE JULES ROMAIN,"75019",Paris 19e Arrondissement,"20",,RUE,JULES ROMAIN,FRANCE
,,,,,,"758847509",20 RUE ST GERMAIN AUXE,"75001",Paris 1er Arrondissement,"20",,RUE,ST GERMAIN AUXE,FRANCE
,,,,,,"758847510",22 RUE JULES ROMAIN,"75019",Paris 19e Arrondissement,"22",,RUE,JULES ROMAIN,FRANCE
,,,,,,"758847511",246 BIS RUE DES PYRENEES,"75020",Paris 20e Arrondissement,"246",BIS,RUE,DES PYRENEES,FRANCE
,,,,,,"758847512",25 BIS RUE D EUPATORIA,"75020",Paris 20e Arrondissement,"25",BIS,RUE,D EUPATORIA,FRANCE
,,,,,,"758847513",28 BIS RUE DE TERRE NEUVE,"75020",Paris 20e Arrondissement,"28",BIS,RUE,DE TERRE NEUVE,FRANCE
,,,,,,"758847514",3 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"3",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847515",3 RUELLE LE FRAISIER,"75012",Paris 12e Arrondissement,"3",,RUELLE,LE FRAISIER,FRANCE
,,,,,,"758847516",34 RUE DE PIXERICOURT,"75020",Paris 20e Arrondissement,"34",,RUE,DE PIXERICOURT,FRANCE
,,,,,,"758847517",40 BIS RUE OLIVIER METRA,"75020",Paris 20e Arrondissement,"40",BIS,RUE,OLIVIER METRA,FRANCE
,,,,,,"758847518",41 RUE PIXÉRICOURT,"75020",Paris 20e Arrondissement,"41",,RUE,PIXÉRICOURT,FRANCE
,,,,,,"758847519",5 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"5",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847520",5 RUE DARIUS MILHAUD,"75019",Paris 19e Arrondissement,"5",,RUE,DARIUS MILHAUD,FRANCE
,,,,,,"758847521",6 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"6",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847522",6 BIS RUE HARPIGNIES,"75020",Paris 20e Arrondissement,"6",BIS,RUE,HARPIGNIES,FRANCE
,,,,,,"758847523",6 RUE AMIRAL LA RONCIERE LE NOURY,"75012",Paris 12e Arrondissement,"6",,RUE,AMIRAL LA RONCIERE LE NOURY,FRANCE
,,,,,,"758847524",6 RUE AMIRAL LA RONCIERE LENOURY,"75012",Paris 12e Arrondissement,"6",,RUE,AMIRAL LA RONCIERE LENOURY,FRANCE
,,,,,,"758847525",7 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"7",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847526",7 BIS RUE JULES DUMIEN,"75020",Paris 20e Arrondissement,"7",BIS,RUE,JULES DUMIEN,FRANCE
,,,,,,"758847527",7 RUE DARIUS MILHAUD,"75019",Paris 19e Arrondissement,"7",,RUE,DARIUS MILHAUD,FRANCE
,,,,,,"758847528",8 ALLEE DES ORGUES DE FLANDRES,"75019",Paris 19e Arrondissement,"8",,ALLEE,DES ORGUES DE FLANDRES,FRANCE
,,,,,,"758847529",8 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"8",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847530",8 BIS PASSAGE SAVART,"75020",Paris 20e Arrondissement,"8",BIS,PASSAGE,SAVART,FRANCE
,,,,,,"758847531",8 TER RUE SAINT FARGEAU,"75020",Paris 20e Arrondissement,"8",TER,RUE,SAINT FARGEAU,FRANCE
,,,,,,"758847532",82 COURS DE VINCENNES,"75012",Paris 12e Arrondissement,"82",,COURS,DE VINCENNES,FRANCE
,,,,,,"758847533",89 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"89",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847534",91 BIS RUE DES ORTEAUX,"75020",Paris 20e Arrondissement,"91",BIS,RUE,DES ORTEAUX,FRANCE
,,,,,,"758847535",91 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"91",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847536",93 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"93",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847537",95 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"95",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847538",95 RUE PELLEPORT,"75020",Paris 20e Arrondissement,"95",,RUE,PELLEPORT,FRANCE
,,,,,,"910032237",1 ALLEE J. LE BRIX,"91170",Viry-ChÃ¢tillon,"1",,ALLEE,J. LE BRIX,FRANCE
,,,,,,"910032238",10 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"10",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032239",12 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"12",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032240",13 RUE BARONNE DE LA ROCHE,"91170",Viry-ChÃ¢tillon,"13",,RUE,BARONNE DE LA ROCHE,FRANCE
,,,,,,"910032241",14 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"14",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032242",16 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"16",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032243",19 RUE DES PICARDEAUX,"91200",Athis-Mons,"19",,RUE,DES PICARDEAUX,FRANCE
,,,,,,"910032244",2 AVENUE CHARLES PEGUY,"91170",Viry-ChÃ¢tillon,"2",,AVENUE,CHARLES PEGUY,FRANCE
,,,,,,"910032245",2 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"2",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032246",21 RUE DES PICARDEAUX,"91200",Athis-Mons,"21",,RUE,DES PICARDEAUX,FRANCE
,,,,,,"910032247",22 COURS JOSEPH DEWALLE,"91200",Athis-Mons,"22",,COURS,JOSEPH DEWALLE,FRANCE
,,,,,,"910032248",26 RUE CHARLES ROSSIGNOL,"91600",Savigny-sur-Orge,"26",,RUE,CHARLES ROSSIGNOL,FRANCE
,,,,,,"910032249",3 ALLEE J. LE BRIX,"91170",Viry-ChÃ¢tillon,"3",,ALLEE,J. LE BRIX,FRANCE
,,,,,,"910032250",4 AVENUE CHARLES PEGUY,"91170",Viry-ChÃ¢tillon,"4",,AVENUE,CHARLES PEGUY,FRANCE
,,,,,,"910032251",4 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"4",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032252",58 AVENUE DES PALOMBES,"91600",Savigny-sur-Orge,"58",,AVENUE,DES PALOMBES,FRANCE
,,,,,,"910032253",6 AVENUE CHARLES PEGUY,"91170",Viry-ChÃ¢tillon,"6",,AVENUE,CHARLES PEGUY,FRANCE
,,,,,,"910032254",6 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"6",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032255",60 AVENUE DES PALOMBES,"91600",Savigny-sur-Orge,"60",,AVENUE,DES PALOMBES,FRANCE
,,,,,,"910032256",62 AVENUE DES PALOMBES,"91600",Savigny-sur-Orge,"62",,AVENUE,DES PALOMBES,FRANCE
,,,,,,"910032257",7 ALLEE ABROISE PARE,"91170",Viry-ChÃ¢tillon,"7",,ALLEE,ABROISE PARE,FRANCE
,,,,,,"910032258",7 RUE JEAN CHARCOT,"91170",Viry-ChÃ¢tillon,"7",,RUE,JEAN CHARCOT,FRANCE
,,,,,,"910032259",8 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"8",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032260",87 RUE JP BENARD,"91200",Athis-Mons,"87",,RUE,JP BENARD,FRANCE
,,,,,,"910032261",9 RUE JEAN CHARCOT,"91170",Viry-ChÃ¢tillon,"9",,RUE,JEAN CHARCOT,FRANCE
,,,,,,"910032262",RUE CHATEAUBRIAND,"91600",Savigny-sur-Orge,,,RUE,CHATEAUBRIAND,FRANCE
,,,,,,"910032263",1 ALLEE J. LE BRIX,"91170",Viry-ChÃ¢tillon,"1",,ALLEE,J. LE BRIX,FRANCE
,,,,,,"910032264",10 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"10",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032265",12 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"12",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032266",13 RUE BARONNE DE LA ROCHE,"91170",Viry-ChÃ¢tillon,"13",,RUE,BARONNE DE LA ROCHE,FRANCE
,,,,,,"910032267",14 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"14",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032268",16 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"16",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032269",19 RUE DES PICARDEAUX,"91200",Athis-Mons,"19",,RUE,DES PICARDEAUX,FRANCE
,,,,,,"910032270",2 AVENUE CHARLES PEGUY,"91170",Viry-ChÃ¢tillon,"2",,AVENUE,CHARLES PEGUY,FRANCE
,,,,,,"910032271",2 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"2",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032272",21 RUE DES PICARDEAUX,"91200",Athis-Mons,"21",,RUE,DES PICARDEAUX,FRANCE
,,,,,,"910032273",22 COURS JOSEPH DEWALLE,"91200",Athis-Mons,"22",,COURS,JOSEPH DEWALLE,FRANCE
,,,,,,"910032274",26 RUE CHARLES ROSSIGNOL,"91600",Savigny-sur-Orge,"26",,RUE,CHARLES ROSSIGNOL,FRANCE
,,,,,,"910032275",3 ALLEE J. LE BRIX,"91170",Viry-ChÃ¢tillon,"3",,ALLEE,J. LE BRIX,FRANCE
,,,,,,"910032276",4 AVENUE CHARLES PEGUY,"91170",Viry-ChÃ¢tillon,"4",,AVENUE,CHARLES PEGUY,FRANCE
,,,,,,"910032277",4 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"4",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032278",58 AVENUE DES PALOMBES,"91600",Savigny-sur-Orge,"58",,AVENUE,DES PALOMBES,FRANCE
,,,,,,"910032279",6 AVENUE CHARLES PEGUY,"91170",Viry-ChÃ¢tillon,"6",,AVENUE,CHARLES PEGUY,FRANCE
,,,,,,"910032280",6 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"6",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032281",60 AVENUE DES PALOMBES,"91600",Savigny-sur-Orge,"60",,AVENUE,DES PALOMBES,FRANCE
,,,,,,"910032282",62 AVENUE DES PALOMBES,"91600",Savigny-sur-Orge,"62",,AVENUE,DES PALOMBES,FRANCE
,,,,,,"910032283",7 ALLEE ABROISE PARE,"91170",Viry-ChÃ¢tillon,"7",,ALLEE,ABROISE PARE,FRANCE
,,,,,,"910032284",7 RUE JEAN CHARCOT,"91170",Viry-ChÃ¢tillon,"7",,RUE,JEAN CHARCOT,FRANCE
,,,,,,"910032285",8 RUE MARC SANGNIER,"91170",Viry-ChÃ¢tillon,"8",,RUE,MARC SANGNIER,FRANCE
,,,,,,"910032286",87 RUE JP BENARD,"91200",Athis-Mons,"87",,RUE,JP BENARD,FRANCE
,,,,,,"910032287",9 RUE JEAN CHARCOT,"91170",Viry-ChÃ¢tillon,"9",,RUE,JEAN CHARCOT,FRANCE
,,,,,,"910032288",RUE CHATEAUBRIAND,"91600",Savigny-sur-Orge,,,RUE,CHATEAUBRIAND,FRANCE
,,,,,,"920029689",1 ALLÉE G VALLEREY,"92290",ChÃ¢tenay-Malabry,"1",,,ALLÉE G VALLEREY,FRANCE
,,,,,,"920029690",1 AVENUE ROBERT SCHUMAN,"92360",Meudon,"1",,AVENUE,ROBERT SCHUMAN,FRANCE
,,,,,,"920029691",1 D ALEMBERT,"92000",Nanterre,"1",,,D ALEMBERT,FRANCE
,,,,,,"920029692",1 PLACE DES DRS BONAMY,"92110",Clichy,"1",,PLACE,DES DRS BONAMY,FRANCE
,,,,,,"920029693",1 PLACE MARGUERITE NAZEAU,"92150",Suresnes,"1",,PLACE,MARGUERITE NAZEAU,FRANCE
,,,,,,"920029694",1 ROND-POINT DES MARTYRS,"92220",Bagneux,"1",,ROND-POINT,DES MARTYRS,FRANCE
,,,,,,"920029695",1 RUE A LEMAIRE,"92260",Fontenay-aux-Roses,"1",,RUE,A LEMAIRE,FRANCE
,,,,,,"920029696",1 RUE DU DCT SCHWEITZER,"92400",Courbevoie,"1",,RUE,DU DCT SCHWEITZER,FRANCE
,,,,,,"920029697",1 RUE DU DOCTEUR FLEMING,"92600",AsniÃ¨res-sur-Seine,"1",,RUE,DU DOCTEUR FLEMING,FRANCE
,,,,,,"920029698",1 RUE EDUARD BRANLY,"92600",AsniÃ¨res-sur-Seine,"1",,RUE,EDUARD BRANLY,FRANCE
,,,,,,"920029699",1 RUE EUGENE CLOTRIER,"92290",ChÃ¢tenay-Malabry,"1",,RUE,EUGENE CLOTRIER,FRANCE
,,,,,,"920029700",1 RUE FRANCIS DE PRESSENSE,"92290",ChÃ¢tenay-Malabry,"1",,RUE,FRANCIS DE PRESSENSE,FRANCE
,,,,,,"920029701",1 RUE GABRIEL PERI,"92350",Le Plessis-Robinson,"1",,RUE,GABRIEL PERI,FRANCE
,,,,,,"920029702",1 RUE J. HARDOUIN MANSART,"92600",AsniÃ¨res-sur-Seine,"1",,RUE,J. HARDOUIN MANSART,FRANCE
,,,,,,"920029703",1 RUE MARIE NODIER,"92260",Fontenay-aux-Roses,"1",,RUE,MARIE NODIER,FRANCE
,,,,,,"920029704",1 RUE MAURICE UTRILLO,"92290",ChÃ¢tenay-Malabry,"1",,RUE,MAURICE UTRILLO,FRANCE
,,,,,,"920029705",1 SQUARE DOUDARD LAGREE,"92600",AsniÃ¨res-sur-Seine,"1",,SQUARE,DOUDARD LAGREE,FRANCE
,,,,,,"920029706",1 SQUARE F. JOLIOT CURIE,"92350",Le Plessis-Robinson,"1",,SQUARE,F. JOLIOT CURIE,FRANCE
,,,,,,"920029707",1 SQUARE J.GIRAUDOUX,"92390",Villeneuve-la-Garenne,"1",,SQUARE,J.GIRAUDOUX,FRANCE
,,,,,,"920029708",1 SQUARE L ABBE MAILLET,"92360",Meudon,"1",,SQUARE,L ABBE MAILLET,FRANCE
,,,,,,"920029709",1 TOLSTOI,"92000",Nanterre,"1",,,TOLSTOI,FRANCE
,,,,,,"920029710",10 AVENUE A. MAISTRASSE,"92150",Suresnes,"10",,AVENUE,A. MAISTRASSE,FRANCE
,,,,,,"920029711",10 ROND-POINT DES MARTYRS,"92220",Bagneux,"10",,ROND-POINT,DES MARTYRS,FRANCE
,,,,,,"920029712",10 RUE ADOLPHE BRIFFAULT,"92600",AsniÃ¨res-sur-Seine,"10",,RUE,ADOLPHE BRIFFAULT,FRANCE
,,,,,,"920029713",10 RUE CHAMPS DES OISEAUX,"92220",Bagneux,"10",,RUE,CHAMPS DES OISEAUX,FRANCE
,,,,,,"920029714",10 RUE DES COTES D AUTY,"92700",Colombes,"10",,RUE,DES COTES D AUTY,FRANCE
,,,,,,"920029715",10 RUE DU CAPITAINE G. FACQ,"92350",Le Plessis-Robinson,"10",,RUE,DU CAPITAINE G. FACQ,FRANCE
,,,,,,"920029716",10 RUE DU MAL DE LATTRE DE,"92390",Villeneuve-la-Garenne,"10",,RUE,DU MAL DE LATTRE DE,FRANCE
,,,,,,"920029717",10 RUE DU MAL DE LATTRE DE TASSI,"92390",Villeneuve-la-Garenne,"10",,RUE,DU MAL DE LATTRE DE TASSI,FRANCE
,,,,,,"920029718",10 RUE FRANCIS DE PRESSENSE,"92290",ChÃ¢tenay-Malabry,"10",,RUE,FRANCIS DE PRESSENSE,FRANCE
,,,,,,"920029719",10 SQUARE F. JOLIOT CURIE,"92350",Le Plessis-Robinson,"10",,SQUARE,F. JOLIOT CURIE,FRANCE
,,,,,,"920029720",101 RUE GRANDE RUE,"92310",SÃ¨vres,"101",,RUE,GRANDE RUE,FRANCE
,,,,,,"920029721",105 RUE X DE MAISTRE,"92500",Rueil-Malmaison,"105",,RUE,X DE MAISTRE,FRANCE
,,,,,,"920029722",107 RUE DE LA PORTE DE TRIVA,"92140",Clamart,"107",,RUE,DE LA PORTE DE TRIVA,FRANCE
,,,,,,"920029723",108 RUE GRAND RUE,"92380",Garches,"108",,RUE,GRAND RUE,FRANCE
,,,,,,"920029724",109 RUE DE LA PORTE DE TRIVA,"92140",Clamart,"109",,RUE,DE LA PORTE DE TRIVA,FRANCE
,,,,,,"920029725",109 RUE J. GUESDE,"92300",Levallois-Perret,"109",,RUE,J. GUESDE,FRANCE
,,,,,,"920029726",11 AVENUE DE VERDUN,"92250",La Garenne-Colombes,"11",,AVENUE,DE VERDUN,FRANCE
,,,,,,"920029727",11 RUE DU DOCTEUR FLEMING,"92600",AsniÃ¨res-sur-Seine,"11",,RUE,DU DOCTEUR FLEMING,FRANCE
,,,,,,"920029728",11 RUE FRANCIS DE PRESSENSE,"92290",ChÃ¢tenay-Malabry,"11",,RUE,FRANCIS DE PRESSENSE,FRANCE
,,,,,,"920029729",11 SQUARE F. JOLIOT CURIE,"92350",Le Plessis-Robinson,"11",,SQUARE,F. JOLIOT CURIE,FRANCE
,,,,,,"920029730",111 RUE DE LA PORTE DE TRIVA,"92140",Clamart,"111",,RUE,DE LA PORTE DE TRIVA,FRANCE
,,,,,,"920029731",113 AVENUE SALENGRO,"92370",Chaville,"113",,AVENUE,SALENGRO,FRANCE
,,,,,,"920029732",113 RUE DE LA PORTE DE TRIVA,"92140",Clamart,"113",,RUE,DE LA PORTE DE TRIVA,FRANCE
,,,,,,"920029733",12 AVENUE A. MAISTRASSE,"92150",Suresnes,"12",,AVENUE,A. MAISTRASSE,FRANCE
,,,,,,"920029734",12 RESIDENCE LES CHATAIGNIERS,"92380",Garches,"12",,RESIDENCE,LES CHATAIGNIERS,FRANCE
,,,,,,"920029735",12 RUE DU CAPITAINE G. FACQ,"92350",Le Plessis-Robinson,"12",,RUE,DU CAPITAINE G. FACQ,FRANCE
,,,,,,"920029736",12 RUE FRANCIS DE PRESSENSE,"92290",ChÃ¢tenay-Malabry,"12",,RUE,FRANCIS DE PRESSENSE,FRANCE
,,,,,,"920029737",12 SQUARE F. JOLIOT CURIE,"92350",Le Plessis-Robinson,"12",,SQUARE,F. JOLIOT CURIE,FRANCE
